name,title,category,origin,originName,apiVersion,isDynamic,blockJson,hasRenderPhp,hasIndexPhp,hasViewJs,sourceRoot
woocommerce/checkout-order-summary-subtotal-block,Subtotal,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-order-summary-subtotal-block/block.json,False,False,False,woocommerce
woocommerce/checkout-order-summary-taxes-block,Taxes,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-order-summary-taxes-block/block.json,False,False,False,woocommerce
woocommerce/checkout-order-summary-totals-block,Totals,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-order-summary-totals-block/block.json,False,False,False,woocommerce
woocommerce/checkout-payment-block,Payment Options,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-payment-block/block.json,False,False,False,woocommerce
woocommerce/checkout-pickup-options-block,Pickup Method,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-pickup-options-block/block.json,False,False,False,woocommerce
woocommerce/checkout-shipping-address-block,Shipping Address,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-shipping-address-block/block.json,False,False,False,woocommerce
woocommerce/checkout-shipping-method-block,Delivery,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-shipping-method-block/block.json,False,False,False,woocommerce
woocommerce/checkout-shipping-methods-block,Shipping Options,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-shipping-methods-block/block.json,False,False,False,woocommerce
woocommerce/checkout-terms-block,Terms and Conditions,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-terms-block/block.json,False,False,False,woocommerce
woocommerce/checkout-totals-block,Checkout Totals,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/checkout-totals-block/block.json,False,False,False,woocommerce
woocommerce/classic-shortcode,Classic Shortcode,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/classic-shortcode/block.json,False,False,False,woocommerce
woocommerce/coming-soon,Coming Soon,woocommerce,external,,,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/coming-soon/block.json,False,False,False,woocommerce
woocommerce/conditional,Conditional,widgets,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/admin/product-editor/blocks/generic/conditional/block.json,False,False,False,woocommerce
woocommerce/coupon-code,Coupon Code,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/coupon-code/block.json,False,False,False,woocommerce
woocommerce/customer-account,Customer account,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/customer-account/block.json,False,False,False,woocommerce
woocommerce/email-content,Email Content,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/email-content/block.json,False,False,False,woocommerce
woocommerce/empty-cart-block,Empty Cart,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/empty-cart-block/block.json,False,False,False,woocommerce
woocommerce/empty-mini-cart-contents-block,Empty Mini-Cart view,woocommerce,external,,3,False,/Users/stephenfeather/Development/wp-block-catalog/artifacts/woocommerce/woocommerce/assets/client/blocks/inner-blocks/empty-mini-cart-contents-block/block.json,False,False,False,woocommerce
